time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-24 00:00:00+00:00,5,5,76,24
2024-01-25 00:00:00+00:00,2,2,37,25
2024-01-26 00:00:00+00:00,2,2,50,20
2024-01-27 00:00:00+00:00,2,2,20,8
2024-01-28 00:00:00+00:00,4,4,8,3
2024-01-29 00:00:00+00:00,3,3,48,22
2024-01-30 00:00:00+00:00,4,4,48,21
2024-01-31 00:00:00+00:00,3,3,71,26
2024-02-01 00:00:00+00:00,4,4,61,25
2024-02-02 00:00:00+00:00,3,3,57,25
2024-02-03 00:00:00+00:00,4,4,32,11
2024-02-04 00:00:00+00:00,2,2,29,7
2024-02-05 00:00:00+00:00,3,3,23,13
2024-02-06 00:00:00+00:00,2,2,35,23
2024-02-07 00:00:00+00:00,2,2,13,13
2024-02-08 00:00:00+00:00,4,4,103,24
2024-02-09 00:00:00+00:00,5,5,97,12
2024-02-10 00:00:00+00:00,2,2,31,11
2024-02-11 00:00:00+00:00,2,2,13,8
2024-02-12 00:00:00+00:00,3,3,15,10
2024-02-13 00:00:00+00:00,4,4,21,12
2024-02-14 00:00:00+00:00,2,2,40,12
2024-02-15 00:00:00+00:00,3,3,38,16
2024-02-16 00:00:00+00:00,2,2,12,8
2024-02-17 00:00:00+00:00,2,2,7,7
2024-02-18 00:00:00+00:00,6,5,13,10
2024-02-19 00:00:00+00:00,4,4,53,11
2024-02-20 00:00:00+00:00,3,3,115,16
2024-02-21 00:00:00+00:00,3,3,27,9
2024-02-22 00:00:00+00:00,20,6,118,19
2024-02-23 00:00:00+00:00,5,5,18,14
2024-02-24 00:00:00+00:00,4,3,37,18
2024-02-25 00:00:00+00:00,2,2,50,14
2024-02-26 00:00:00+00:00,2,2,36,21
2024-02-27 00:00:00+00:00,3,3,81,33
2024-02-28 00:00:00+00:00,4,3,126,41
2024-02-29 00:00:00+00:00,2,2,34,20
2024-03-01 00:00:00+00:00,3,3,216,16
2024-03-02 00:00:00+00:00,2,2,19,12
2024-03-03 00:00:00+00:00,4,4,18,12
2024-03-04 00:00:00+00:00,2,2,126,32
2024-03-05 00:00:00+00:00,4,4,145,43
2024-03-06 00:00:00+00:00,2,2,76,48
2024-03-07 00:00:00+00:00,1,1,62,19
2024-03-08 00:00:00+00:00,3,3,41,17
2024-03-09 00:00:00+00:00,6,6,28,20
2024-03-10 00:00:00+00:00,2,2,26,14
2024-03-11 00:00:00+00:00,4,4,48,30
2024-03-12 00:00:00+00:00,4,4,44,21
2024-03-13 00:00:00+00:00,10,9,198,143
2024-03-14 00:00:00+00:00,7,7,396,203
2024-03-15 00:00:00+00:00,12,10,286,145
2024-03-16 00:00:00+00:00,6,6,229,132
2024-03-17 00:00:00+00:00,12,12,323,134
2024-03-18 00:00:00+00:00,14,12,317,159
2024-03-19 00:00:00+00:00,6,6,459,148
2024-03-20 00:00:00+00:00,4,4,234,125
2024-03-21 00:00:00+00:00,4,3,387,122
2024-03-22 00:00:00+00:00,3,3,172,95
2024-03-23 00:00:00+00:00,5,5,177,77
2024-03-24 00:00:00+00:00,4,4,160,87
2024-03-25 00:00:00+00:00,4,4,189,94
2024-03-26 00:00:00+00:00,6,6,216,99
2024-03-27 00:00:00+00:00,2,2,255,87
2024-03-28 00:00:00+00:00,6,6,214,80
2024-03-29 00:00:00+00:00,4,4,143,79
2024-03-30 00:00:00+00:00,2,2,122,54
2024-03-31 00:00:00+00:00,2,2,99,46
2024-04-01 00:00:00+00:00,5,5,190,54
2024-04-02 00:00:00+00:00,2,2,149,62
2024-04-03 00:00:00+00:00,3,3,160,68
2024-04-04 00:00:00+00:00,5,4,134,71
2024-04-05 00:00:00+00:00,2,2,100,53
2024-04-06 00:00:00+00:00,4,4,108,40
2024-04-07 00:00:00+00:00,2,2,131,55
2024-04-08 00:00:00+00:00,5,4,156,65
2024-04-09 00:00:00+00:00,3,2,113,44
2024-04-10 00:00:00+00:00,4,4,88,44
2024-04-11 00:00:00+00:00,1,1,152,59
2024-04-12 00:00:00+00:00,5,5,115,41
2024-04-13 00:00:00+00:00,4,3,40,28
2024-04-14 00:00:00+00:00,5,4,32,25
2024-04-15 00:00:00+00:00,1,1,119,37
2024-04-16 00:00:00+00:00,7,6,94,38
2024-04-17 00:00:00+00:00,4,4,191,49
2024-04-18 00:00:00+00:00,6,2,66,44
2024-04-19 00:00:00+00:00,3,3,35,26
2024-04-20 00:00:00+00:00,1,1,67,24
2024-04-21 00:00:00+00:00,6,3,55,28
2024-04-22 00:00:00+00:00,1,1,89,28
2024-04-23 00:00:00+00:00,8,4,172,38
2024-04-24 00:00:00+00:00,8,4,62,32
2024-04-25 00:00:00+00:00,1,1,81,34
2024-04-26 00:00:00+00:00,3,3,68,45
2024-04-27 00:00:00+00:00,6,3,16,14
2024-04-28 00:00:00+00:00,3,3,56,15
2024-04-29 00:00:00+00:00,2,2,33,21
2024-04-30 00:00:00+00:00,2,2,110,24
2024-05-01 00:00:00+00:00,1,1,45,22
